termID,title
6,Summer 2015 Law Quarter
8,Law Quarter - Summer 2015
13,201550: Full Summer 2015
14,201560: Summer 2 2015 Survey
19,201610: Fall A 2015
20,Law Quarter - Fall 2015
22,201610: Fall 2015
24,Law Semester - Fall 2015
25,Law Quarter - Winter 2016
26,201630: Spring A 2016
27,201630: Spring 2016
29,Law Semester - Spring 2016
30,Law Quarter - Spring 2016
31,201640: Summer 1 2016
32,201650: Full Summer 2016
33,201660: Summer 2 2016
34,Law Quarter - Summer 2016
35,Summer 2016 Law Semester
36,Fall A 201710
42,Law Quarter - Fall 2016
43,201710: Fall 2016
44,MLS Semester A - Fall 2016
47,Law Semester - Fall 2016
48,MLS Semester B - Fall 2016
49,Law Quarter - Winter 2017
50,Spring A 201730
51,MLS Semester A - Spring 2017
52,201730: Spring 2017
53,Law Semester - Spring 2017
54,Law Quarter - Spring 2017
55,201740: Summer 1 2017
56,201750: Full Summer 2017
57,201760: Summer 2 2017
58,Law Special - Summer 2017
59,MLS Semester A - Summer 2017
60,Law Quarter - Summer 2017
62,MLS Semester B - Summer 2017
63,Fall A 2017
67,Law Quarter - Fall 2017
69,201810: Fall 2017
70,Law Semester - Fall 2017
71,MLS Fall 2017
73,Law Quarter - Winter 2018
74,Spring A - First Half 201830
75,201830: Spring 2018
80,Law Semester - Spring 2018
81,Law Quarter - Spring 2018
82,201840: Summer 1 2018
